ROS Time,Behaviour
02:53: 36,Pausing
02:53: 41,Pausing
02:53: 42,Pausing
02:53: 47,Pausing
02:54: 07,Spinning
02:54: 12,Spinning
02:54: 16,Pausing
02:54: 21,Pausing
02:54: 23,Spinning
02:54: 28,Spinning
02:54: 28,Pausing
02:54: 33,Pausing
02:54: 38,Spinning
02:54: 43,Spinning
02:54: 49,Pausing
02:54: 54,Pausing
02:55: 00,Spinning
02:55: 05,Spinning
02:55: 05,Spinning
02:55: 10,Spinning
02:55: 16,Pausing
02:55: 21,Pausing
02:55: 23,Spinning
02:55: 28,Spinning
02:55: 32,Spinning
02:55: 37,Spinning
02:55: 40,Spinning
02:55: 45,Spinning
02:55: 46,Spinning
02:55: 51,Spinning
02:55: 53,Spinning
02:55: 58,Spinning
02:56: 01,Spinning
02:56: 06,Spinning
02:56: 09,Spinning
02:56: 14,Spinning
02:56: 15,Pausing
02:56: 20,Pausing
02:56: 21,Pausing
02:56: 26,Pausing
02:56: 29,Spinning
02:56: 34,Spinning
