ROS Time,Behaviour
02:53: 53,Spinning
02:53: 58,Spinning
02:54: 19,Spinning
02:54: 24,Spinning
02:54: 32,Pausing
02:54: 37,Pausing
02:54: 37,Pausing
02:54: 42,Pausing
02:54: 42,Pausing
02:54: 47,Pausing
02:54: 47,Spinning
02:54: 52,Spinning
02:55: 01,Pausing
02:55: 06,Pausing
02:55: 07,Pausing
02:55: 12,Pausing
02:55: 12,Pausing
02:55: 17,Pausing
02:55: 17,Spinning
02:55: 22,Spinning
02:55: 23,Spinning
02:55: 28,Spinning
02:55: 28,Spinning
02:55: 33,Spinning
02:55: 33,Pausing
02:55: 38,Pausing
02:55: 38,Spinning
02:55: 43,Spinning
02:55: 44,Spinning
02:55: 49,Spinning
02:55: 49,Pausing
02:55: 54,Pausing
02:55: 54,Spinning
02:55: 59,Spinning
02:56: 00,Pausing
02:56: 05,Pausing
02:57: 14,Spinning
02:57: 19,Spinning
