ROS Time,Behaviour
02:53: 46,Pausing
02:53: 51,Pausing
02:55: 25,Spinning
02:55: 30,Spinning
02:56: 09,Pausing
02:56: 14,Pausing
02:57: 07,Spinning
02:57: 12,Spinning
02:57: 23,Pausing
02:57: 28,Pausing
02:58: 03,Spinning
02:58: 08,Spinning
02:58: 12,Pausing
02:58: 17,Pausing
02:58: 17,Pausing
02:58: 22,Pausing
02:58: 34,Pausing
02:58: 39,Pausing
03:00: 43,Spinning
03:00: 48,Spinning
03:01: 59,Pausing
03:02: 04,Pausing
03:02: 11,Spinning
03:02: 16,Spinning
03:02: 52,Pausing
03:02: 57,Pausing
03:03: 42,Spinning
03:03: 47,Spinning
