ROS Time,Behaviour
02:53: 46,Spinning
02:53: 51,Spinning
02:54: 30,Pausing
02:54: 35,Pausing
02:54: 56,Pausing
02:55: 01,Pausing
02:55: 33,Spinning
02:55: 38,Spinning
02:56: 18,Spinning
02:56: 23,Spinning
02:56: 27,Pausing
02:56: 32,Pausing
02:56: 39,Spinning
02:56: 44,Spinning
02:57: 15,Pausing
02:57: 20,Pausing
02:57: 23,Pausing
02:57: 28,Pausing
02:57: 33,Spinning
02:57: 38,Spinning
02:57: 40,Spinning
02:57: 45,Spinning
02:57: 57,Spinning
02:58: 02,Spinning
02:58: 05,Spinning
02:58: 10,Spinning
02:58: 15,Pausing
02:58: 20,Pausing
