ROS Time,Behaviour
02:53: 45,Pausing
02:53: 50,Pausing
02:54: 48,Pausing
02:54: 53,Pausing
02:55: 16,Spinning
02:55: 21,Spinning
02:55: 29,Spinning
02:55: 34,Spinning
02:55: 44,Pausing
02:55: 49,Pausing
02:57: 13,Pausing
02:57: 18,Pausing
02:59: 15,Spinning
02:59: 20,Spinning
02:59: 38,Spinning
02:59: 43,Spinning
02:59: 59,Spinning
03:00: 04,Spinning
03:00: 15,Pausing
03:00: 20,Pausing
03:00: 24,Spinning
03:00: 29,Spinning
03:00: 39,Pausing
03:00: 44,Pausing
03:01: 58,Pausing
03:02: 03,Pausing
03:02: 21,Spinning
03:02: 26,Spinning
03:02: 39,Pausing
03:02: 44,Pausing
03:03: 19,Spinning
03:03: 24,Spinning
